Lambdifying EOM
Setting up symbolic variables
Lambdifying accelerations
Solving IVP
t: 0.0, cost: 19.723877944449626, nfev: 172, v_opt: [-22.40382796  81.09460147  56.23814302]
t: 0.017767683332626762, cost: 19.687204693853424, nfev: 160, v_opt: [-17.75849975  81.36082977  56.26050308]
t: 0.028184022946153943, cost: 19.66802670683641, nfev: 140, v_opt: [-15.6524951   81.47019152  56.26901022]
t: 0.040996177968070216, cost: 19.640688222444197, nfev: 176, v_opt: [-12.8159332   81.6114922   56.28015761]
t: 0.06113486245177098, cost: 19.592763166997173, nfev: 144, v_opt: [ -4.22005879  12.96001561 -87.46279787]
t: 0.07117872639099643, cost: 19.57295502332436, nfev: 145, v_opt: [  1.15566213 -94.04178085  81.22021665]
t: 0.08525310943969314, cost: 19.535796580365194, nfev: 149, v_opt: [  3.00808172 -93.96911098  81.22410169]
t: 0.09640095141619315, cost: 19.53489634239794, nfev: 124, v_opt: [ -6.25 -81.25  -6.25]
t: 0.11620521949543924, cost: 19.4625967773139, nfev: 113, v_opt: [  4.87032514 -93.93909009  81.22369922]
t: 0.1275601384033213, cost: 18.00307259172112, nfev: 116, v_opt: [100.         100.         -19.07861587]
t: 0.14145720970867665, cost: 18.80047932213102, nfev: 205, v_opt: [100.         100.         -19.27440178]
t: 0.15168746249645493, cost: 19.603864428544238, nfev: 152, v_opt: [-42.31540623  50.58621267 -49.94635948]
t: 0.16699523478131337, cost: 19.390922545419507, nfev: 133, v_opt: [-27.16778791  -9.35790458 -15.63223405]
t: 0.17755948791901188, cost: 18.863731124768762, nfev: 148, v_opt: [100.         100.         -81.42538849]
t: 0.18844279398468317, cost: 11.781976897216074, nfev: 104, v_opt: [ 84.53337386 -92.70185438  11.76028399]
t: 0.19850887153981245, cost: 18.286278157934674, nfev: 140, v_opt: [100.         -34.35817923 -90.62262343]
t: 0.20943670175881418, cost: 17.56781552561215, nfev: 290, v_opt: [100.         -34.48878206 -90.6298403 ]
t: 0.22065450155677008, cost: 16.981672780187843, nfev: 131, v_opt: [69.83755525 90.50089569 84.40499701]
t: 0.2327756461254023, cost: 16.143719927813027, nfev: 127, v_opt: [54.74006151 56.598101   31.29156915]
t: 0.24343465723869334, cost: 15.357937104823375, nfev: 313, v_opt: [ 47.18302503 100.         -50.90985762]
t: 0.2535362918175222, cost: 14.704693992258981, nfev: 135, v_opt: [49.86769143 57.15645326 31.29899789]
t: 0.2636383891639839, cost: 13.76666828654235, nfev: 167, v_opt: [58.32177657 56.85540432 31.23340688]
t: 0.2743638459194778, cost: 12.710194072705416, nfev: 68, v_opt: [ 78.125 -65.625  65.625]
t: 0.28464013165780716, cost: 12.410607190134208, nfev: 106, v_opt: [ 79.52367582 -90.09918265  12.14097026]
t: 0.29494564489345726, cost: 11.301914146622288, nfev: 143, v_opt: [ 68.56390354 -98.4837408  -28.35097457]
t: 0.30676299347577624, cost: 10.290191035059756, nfev: 169, v_opt: [ 37.18000606 -80.53493235 -72.22072161]
t: 0.3175218137873013, cost: 9.55529346055417, nfev: 130, v_opt: [ 12.5259274  -12.49893474 -62.49998808]
t: 0.3276753107743189, cost: 8.872045807303865, nfev: 198, v_opt: [  9.0191145  -93.65928411  81.24772052]
t: 0.3377002778554129, cost: 8.18155718924775, nfev: 89, v_opt: [ 24.98454549 -75.00367641 -25.00052573]
t: 0.34810987338788557, cost: 7.0470069782682785, nfev: 87, v_opt: [  6.25 -93.75  81.25]
t: 0.3586915092689139, cost: 6.306382853257164, nfev: 118, v_opt: [ -6.25 -81.25  -6.25]
t: 0.36946536024236204, cost: 5.620113713565884, nfev: 87, v_opt: [ -6.25 -81.25  -6.25]
t: 0.3795738970160102, cost: 5.048137617286162, nfev: 164, v_opt: [ -9.6566154  -81.72968134  -6.30972507]
t: 0.3895842669767182, cost: 4.528296191658172, nfev: 80, v_opt: [ -6.25 -81.25  -6.25]
t: 0.3998235495464218, cost: 4.079486846636184, nfev: 88, v_opt: [ -6.23867339 -81.25001019  -6.25001085]
t: 0.4099416807217681, cost: 3.7124398435692934, nfev: 180, v_opt: [-4.96096408 65.57430063  9.37054729]
t: 0.4200617618960119, cost: 3.3912215582984846, nfev: 132, v_opt: [ 8.47352275 46.42403224 53.08426366]
t: 0.43019005058036786, cost: 3.1351280158816834, nfev: 169, v_opt: [ 14.58620156  93.49084948 -31.27239027]
t: 0.44023716634901683, cost: 2.8602571372320025, nfev: 188, v_opt: [ 17.13882564  93.71675668 -31.24930545]
t: 0.45051853845537454, cost: 2.6238447118821986, nfev: 202, v_opt: [ 27.11069879 -22.35603679  96.82950665]
